sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
PH0047-Cx	PF0008-C	1003	0.9163	-2.76194e+03	5	410.815	10	0.00784	0.03015	0.01575
PH0047-Cx	PF0011-C	960	0.9115	-2.66764e+03	5	826.078	2	0.00115	0.00441	0.00364
PH0047-Cx	PF0020-C	1033	0.9129	-2.84083e+03	5	1477.838	6	0.00153	0.01549	0.00733
PH0047-Cx	PF0022-C	1004	0.9183	-2.81826e+03	5	636.284	6	0.00440	0.01858	0.01162
PH0047-Cx	PF0025-C	924	0.9351	-2.67071e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0028-C	937	0.9285	-2.57933e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0031-C	976	0.9180	-2.70366e+03	5	545.752	4	0.00458	0.01708	0.00799
PH0047-Cx	PF0032-C	729	0.9314	-1.99035e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0035-C	1050	0.9448	-2.86590e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0047-Cx	PF0037-C	1043	0.9262	-2.89584e+03	5	0.002	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0008-C	1038	0.9509	-2.42617e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0011-C	972	0.9146	-2.37197e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0020-C	1072	0.9478	-2.51530e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0022-C	1044	0.9444	-2.50210e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0025-C	952	0.9496	-2.39766e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0028-C	940	0.9298	-2.27393e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0031-C	1003	0.9312	-2.40880e+03	5	0.001	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0032-C	740	0.9378	-1.74035e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0035-C	1060	0.9519	-2.52864e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0051-Cx	PF0037-C	1052	0.9306	-2.56998e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0008-C	1012	0.9486	-2.18066e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0011-C	965	0.9451	-2.12617e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0020-C	1048	0.9542	-2.27895e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0022-C	1030	0.9641	-2.25548e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0025-C	912	0.9441	-2.17401e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0028-C	943	0.9512	-2.04931e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0031-C	992	0.9466	-2.17612e+03	2	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0032-C	753	0.9588	-1.55886e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0035-C	1010	0.9406	-2.26289e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0055-C	PF0037-C	1033	0.9487	-2.30585e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0008-C	1016	0.9291	-2.50705e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0011-C	981	0.9246	-2.43627e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0020-C	1064	0.9417	-2.57559e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0022-C	1050	0.9514	-2.58546e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0025-C	955	0.9476	-2.45879e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0028-C	931	0.9055	-2.37227e+03	5	1274.239	6	0.00231	0.02353	0.00843
PH0057-C	PF0031-C	975	0.9077	-2.48494e+03	5	845.756	4	0.00158	0.01276	0.00452
PH0057-C	PF0032-C	747	0.9438	-1.81673e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0035-C	1051	0.9458	-2.60271e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0057-C	PF0037-C	1045	0.9263	-2.63345e+03	5	786.189	2	0.00091	0.00657	0.00264
PH0059-C	PF0008-C	1042	0.9271	-2.68954e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0011-C	994	0.9296	-2.58290e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0020-C	1086	0.9392	-2.77923e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0022-C	1066	0.9447	-2.75337e+03	5	436.789	2	0.00172	0.01106	0.00435
PH0059-C	PF0025-C	938	0.9264	-2.61352e+03	4	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0028-C	976	0.9375	-2.51866e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0031-C	1029	0.9378	-2.66245e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0032-C	782	0.9412	-1.99088e+03	3	0.000	0	0.00000	0.00000	0.00000
PH0059-C	PF0035-C	1064	0.9267	-2.79727e+03	3	0.000	0	0.00000	0.00000	0.00000
