sample1	sample2	chr	start	end	different	Nsnp
PH0047-Cx	PF0008-C	1	92914	513960	1	3296
PH0047-Cx	PF0008-C	1	514549	516077	0	56
PH0047-Cx	PF0008-C	1	516118	530378	1	199
PH0047-Cx	PF0008-C	1	530405	531130	0	38
PH0047-Cx	PF0008-C	1	531416	532767	1	57
PH0047-Cx	PF0008-C	1	532799	534495	0	32
PH0047-Cx	PF0008-C	1	534741	535652	1	19
PH0047-Cx	PF0008-C	1	535827	546806	0	96
PH0047-Cx	PF0008-C	1	547787	575873	1	480
PH0047-Cx	PF0008-C	2	106099	862490	1	6316
PH0047-Cx	PF0008-C	3	70833	139903	1	727
PH0047-Cx	PF0008-C	3	140159	142239	0	64
PH0047-Cx	PF0008-C	3	142507	1003043	1	6775
PH0047-Cx	PF0011-C	1	92914	575873	1	4273
PH0047-Cx	PF0011-C	2	106099	847713	1	5966
PH0047-Cx	PF0011-C	2	847927	850418	0	66
PH0047-Cx	PF0011-C	2	850734	862490	1	284
PH0047-Cx	PF0011-C	3	70833	1003043	1	7566
PH0047-Cx	PF0020-C	1	92914	514966	1	3307
PH0047-Cx	PF0020-C	1	515036	516077	0	45
PH0047-Cx	PF0020-C	1	516118	531982	1	260
PH0047-Cx	PF0020-C	1	532054	533174	0	50
PH0047-Cx	PF0020-C	1	533956	575873	1	611
PH0047-Cx	PF0020-C	2	106099	858493	1	6162
PH0047-Cx	PF0020-C	2	858567	859721	0	38
PH0047-Cx	PF0020-C	2	859885	862490	1	116
PH0047-Cx	PF0020-C	3	70833	1003043	1	7566
PH0047-Cx	PF0022-C	1	92914	575873	1	4273
PH0047-Cx	PF0022-C	2	106099	848371	1	5984
PH0047-Cx	PF0022-C	2	848452	850418	0	48
PH0047-Cx	PF0022-C	2	850734	858493	1	130
PH0047-Cx	PF0022-C	2	858567	859599	0	35
PH0047-Cx	PF0022-C	2	859686	862490	1	119
PH0047-Cx	PF0022-C	3	70833	128649	1	663
PH0047-Cx	PF0022-C	3	135709	142239	0	128
PH0047-Cx	PF0022-C	3	142507	1003043	1	6775
PH0047-Cx	PF0025-C	1	92914	575873	1	4273
PH0047-Cx	PF0025-C	2	106099	862490	1	6316
PH0047-Cx	PF0025-C	3	70833	1003043	1	7566
PH0047-Cx	PF0028-C	1	92914	575873	1	4273
PH0047-Cx	PF0028-C	2	106099	862490	1	6316
PH0047-Cx	PF0028-C	3	70833	1003043	1	7566
PH0047-Cx	PF0031-C	1	92914	531563	1	3598
PH0047-Cx	PF0031-C	1	531652	533174	0	64
PH0047-Cx	PF0031-C	1	533956	535652	1	35
PH0047-Cx	PF0031-C	1	535827	544240	0	81
PH0047-Cx	PF0031-C	1	545567	575873	1	495
PH0047-Cx	PF0031-C	2	106099	862490	1	6316
PH0047-Cx	PF0031-C	3	70833	1003043	1	7566
