sample1	sample2	chr	start	end	different	Nsnp
PH0047-Cx	PH0051-Cx	1	92914	575873	1	4273
PH0047-Cx	PH0051-Cx	2	106099	373325	1	2222
PH0047-Cx	PH0051-Cx	2	373459	382818	0	84
PH0047-Cx	PH0051-Cx	2	383280	455608	1	466
PH0047-Cx	PH0051-Cx	2	456647	482294	0	155
PH0047-Cx	PH0051-Cx	2	483362	839251	1	2855
PH0047-Cx	PH0051-Cx	2	839335	843295	0	93
PH0047-Cx	PH0051-Cx	2	843506	845644	1	45
PH0047-Cx	PH0051-Cx	2	845672	847713	0	46
PH0047-Cx	PH0051-Cx	2	847927	862490	1	350
PH0047-Cx	PH0051-Cx	3	70833	799323	1	5858
PH0047-Cx	PH0051-Cx	3	800286	819131	0	135
PH0047-Cx	PH0051-Cx	3	819652	893932	1	562
PH0047-Cx	PH0051-Cx	3	894201	925967	0	293
PH0047-Cx	PH0051-Cx	3	926574	1003043	1	718
PH0047-Cx	PH0055-C	1	92914	575873	1	4273
PH0047-Cx	PH0055-C	2	106099	862490	1	6316
PH0047-Cx	PH0055-C	3	70833	1003043	1	7566
PH0047-Cx	PH0057-C	1	92914	575873	1	4273
PH0047-Cx	PH0057-C	2	106099	862490	1	6316
PH0047-Cx	PH0057-C	3	70833	799323	1	5858
PH0047-Cx	PH0057-C	3	800286	819131	0	135
PH0047-Cx	PH0057-C	3	819652	893932	1	562
PH0047-Cx	PH0057-C	3	894201	925967	0	293
PH0047-Cx	PH0057-C	3	926574	1003043	1	718
PH0047-Cx	PH0059-C	1	92914	575873	1	4273
PH0047-Cx	PH0059-C	2	106099	862490	1	6316
PH0047-Cx	PH0059-C	3	70833	704788	1	5181
PH0047-Cx	PH0059-C	3	705277	886267	0	1287
PH0047-Cx	PH0059-C	3	886714	1003043	1	1098
PH0047-Cx	PH0060-C	1	92914	575873	1	4273
PH0047-Cx	PH0060-C	2	106099	862490	1	6316
PH0047-Cx	PH0060-C	3	70833	1003043	1	7566
PH0047-Cx	PH0064-C	1	92914	531563	1	3598
PH0047-Cx	PH0064-C	1	531652	532799	0	49
PH0047-Cx	PH0064-C	1	532870	575873	1	626
PH0047-Cx	PH0064-C	2	106099	862490	1	6316
PH0047-Cx	PH0064-C	3	70833	790018	1	5800
PH0047-Cx	PH0064-C	3	790645	815254	0	162
PH0047-Cx	PH0064-C	3	815841	1003043	1	1604
PH0047-Cx	PH0163-C	1	92914	532054	1	3613
PH0047-Cx	PH0163-C	1	532122	534495	0	65
PH0047-Cx	PH0163-C	1	534741	575873	1	595
PH0047-Cx	PH0163-C	2	106099	862490	1	6316
PH0047-Cx	PH0163-C	3	70833	1003043	1	7566
PH0047-Cx	PH0167-C	1	92914	532054	1	3613
PH0047-Cx	PH0167-C	1	532122	534495	0	65
PH0047-Cx	PH0167-C	1	534741	575873	1	595
PH0047-Cx	PH0167-C	2	106099	862490	1	6316
PH0047-Cx	PH0167-C	3	70833	1003043	1	7566
PH0047-Cx	PH0171-C	1	92914	531757	1	3603
PH0047-Cx	PH0171-C	1	531821	532663	0	36
PH0047-Cx	PH0171-C	1	532713	575873	1	634
PH0047-Cx	PH0171-C	2	106099	862490	1	6316
PH0047-Cx	PH0171-C	3	70833	117866	1	541
PH0047-Cx	PH0171-C	3	118001	140790	0	215
PH0047-Cx	PH0171-C	3	140914	1003043	1	6810
PH0051-Cx	PH0055-C	1	92914	575873	1	4273
PH0051-Cx	PH0055-C	2	106099	862490	1	6316
PH0051-Cx	PH0055-C	3	70833	1003043	1	7566
PH0051-Cx	PH0057-C	1	92914	575873	0	4273
PH0051-Cx	PH0057-C	2	106099	862490	1	6316
PH0051-Cx	PH0057-C	3	70833	1003043	0	7566
PH0051-Cx	PH0059-C	1	92914	487895	1	2921
PH0051-Cx	PH0059-C	1	488448	498782	0	148
PH0051-Cx	PH0059-C	1	499155	575873	1	1204
PH0051-Cx	PH0059-C	2	106099	588863	1	3650
PH0051-Cx	PH0059-C	2	589858	605645	0	135
PH0051-Cx	PH0059-C	2	606077	862490	1	2531
PH0051-Cx	PH0059-C	3	70833	438312	1	3431
PH0051-Cx	PH0059-C	3	439313	496504	0	368
PH0051-Cx	PH0059-C	3	497247	799323	1	2059
PH0051-Cx	PH0059-C	3	800286	819131	0	135
PH0051-Cx	PH0059-C	3	819652	1003043	1	1573
PH0051-Cx	PH0060-C	1	92914	575873	1	4273
PH0051-Cx	PH0060-C	2	106099	840189	1	5798
PH0051-Cx	PH0060-C	2	840294	842254	0	49
PH0051-Cx	PH0060-C	2	842449	862490	1	469
PH0051-Cx	PH0060-C	3	70833	496504	1	3799
PH0051-Cx	PH0060-C	3	497247	517096	0	174
PH0051-Cx	PH0060-C	3	517936	1003043	1	3593
PH0051-Cx	PH0064-C	1	92914	575873	1	4273
PH0051-Cx	PH0064-C	2	106099	862490	1	6316
PH0051-Cx	PH0064-C	3	70833	799323	1	5858
PH0051-Cx	PH0064-C	3	800286	825800	0	183
PH0051-Cx	PH0064-C	3	826027	1003043	1	1525
PH0051-Cx	PH0163-C	1	92914	575873	1	4273
PH0051-Cx	PH0163-C	2	106099	862490	1	6316
PH0051-Cx	PH0163-C	3	70833	139903	1	727
PH0051-Cx	PH0163-C	3	140159	153332	0	181
PH0051-Cx	PH0163-C	3	153996	208125	1	547
PH0051-Cx	PH0163-C	3	208963	338675	0	1130
PH0051-Cx	PH0163-C	3	339638	503378	1	1275
PH0051-Cx	PH0163-C	3	503733	554343	0	368
PH0051-Cx	PH0163-C	3	555085	1003043	1	3338
PH0051-Cx	PH0167-C	1	92914	575873	1	4273
PH0051-Cx	PH0167-C	2	106099	862490	1	6316
PH0051-Cx	PH0167-C	3	70833	120270	1	601
PH0051-Cx	PH0167-C	3	120535	128649	0	62
PH0051-Cx	PH0167-C	3	135709	139903	1	64
PH0051-Cx	PH0167-C	3	140159	153332	0	181
PH0051-Cx	PH0167-C	3	153996	208125	1	547
PH0051-Cx	PH0167-C	3	208963	338675	0	1130
PH0051-Cx	PH0167-C	3	339638	503378	1	1275
PH0051-Cx	PH0167-C	3	503733	554343	0	368
PH0051-Cx	PH0167-C	3	555085	1003043	1	3338
PH0051-Cx	PH0171-C	1	92914	174105	1	801
PH0051-Cx	PH0171-C	1	174777	188998	0	158
PH0051-Cx	PH0171-C	1	189598	487895	1	1962
PH0051-Cx	PH0171-C	1	488448	500179	0	178
PH0051-Cx	PH0171-C	1	500232	575873	1	1174
PH0051-Cx	PH0171-C	2	106099	862490	1	6316
PH0051-Cx	PH0171-C	3	70833	1003043	1	7566
PH0055-C	PH0057-C	1	92914	575873	1	4273
PH0055-C	PH0057-C	2	106099	862490	1	6316
PH0055-C	PH0057-C	3	70833	1003043	1	7566
PH0055-C	PH0059-C	1	92914	575873	1	4273
PH0055-C	PH0059-C	2	106099	862490	1	6316
PH0055-C	PH0059-C	3	70833	93154	1	267
PH0055-C	PH0059-C	3	93454	167933	0	791
PH0055-C	PH0059-C	3	168130	1003043	1	6508
PH0055-C	PH0060-C	1	92914	575873	1	4273
PH0055-C	PH0060-C	2	106099	862490	1	6316
PH0055-C	PH0060-C	3	70833	1003043	1	7566
PH0055-C	PH0064-C	1	92914	575873	1	4273
PH0055-C	PH0064-C	2	106099	862490	1	6316
PH0055-C	PH0064-C	3	70833	1003043	1	7566
PH0055-C	PH0163-C	1	92914	575873	1	4273
PH0055-C	PH0163-C	2	106099	862490	1	6316
PH0055-C	PH0163-C	3	70833	1003043	1	7566
PH0055-C	PH0167-C	1	92914	575873	1	4273
PH0055-C	PH0167-C	2	106099	862490	1	6316
PH0055-C	PH0167-C	3	70833	1003043	1	7566
PH0055-C	PH0171-C	1	92914	203346	1	1089
PH0055-C	PH0171-C	1	204260	309963	0	804
PH0055-C	PH0171-C	1	311701	575873	1	2380
PH0055-C	PH0171-C	2	106099	862490	1	6316
PH0055-C	PH0171-C	3	70833	594855	1	4486
PH0055-C	PH0171-C	3	595551	638492	0	248
PH0055-C	PH0171-C	3	639045	1003043	1	2832
PH0057-C	PH0059-C	1	92914	487895	1	2921
PH0057-C	PH0059-C	1	488448	498782	0	148
PH0057-C	PH0059-C	1	499155	575873	1	1204
PH0057-C	PH0059-C	2	106099	627490	1	3933
PH0057-C	PH0059-C	2	627971	669887	0	295
PH0057-C	PH0059-C	2	670207	862490	1	2088
PH0057-C	PH0059-C	3	70833	438312	1	3431
PH0057-C	PH0059-C	3	439313	496504	0	368
PH0057-C	PH0059-C	3	497247	799323	1	2059
PH0057-C	PH0059-C	3	800286	819131	0	135
PH0057-C	PH0059-C	3	819652	1003043	1	1573
PH0057-C	PH0060-C	1	92914	575873	1	4273
PH0057-C	PH0060-C	2	106099	862490	1	6316
PH0057-C	PH0060-C	3	70833	496504	1	3799
PH0057-C	PH0060-C	3	497247	517096	0	174
PH0057-C	PH0060-C	3	517936	1003043	1	3593
PH0057-C	PH0064-C	1	92914	575873	1	4273
PH0057-C	PH0064-C	2	106099	862490	1	6316
PH0057-C	PH0064-C	3	70833	799323	1	5858
PH0057-C	PH0064-C	3	800286	825800	0	183
PH0057-C	PH0064-C	3	826027	1003043	1	1525
PH0057-C	PH0163-C	1	92914	575873	1	4273
PH0057-C	PH0163-C	2	106099	862490	1	6316
PH0057-C	PH0163-C	3	70833	139903	1	727
PH0057-C	PH0163-C	3	140159	153332	0	181
PH0057-C	PH0163-C	3	153996	208125	1	547
PH0057-C	PH0163-C	3	208963	338675	0	1130
PH0057-C	PH0163-C	3	339638	503378	1	1275
PH0057-C	PH0163-C	3	503733	554343	0	368
PH0057-C	PH0163-C	3	555085	1003043	1	3338
PH0057-C	PH0167-C	1	92914	575873	1	4273
PH0057-C	PH0167-C	2	106099	862490	1	6316
PH0057-C	PH0167-C	3	70833	139903	1	727
PH0057-C	PH0167-C	3	140159	153332	0	181
PH0057-C	PH0167-C	3	153996	208125	1	547
PH0057-C	PH0167-C	3	208963	338675	0	1130
PH0057-C	PH0167-C	3	339638	503378	1	1275
PH0057-C	PH0167-C	3	503733	554343	0	368
PH0057-C	PH0167-C	3	555085	1003043	1	3338
PH0057-C	PH0171-C	1	92914	174105	1	801
PH0057-C	PH0171-C	1	174777	188998	0	158
PH0057-C	PH0171-C	1	189598	487895	1	1962
PH0057-C	PH0171-C	1	488448	500179	0	178
PH0057-C	PH0171-C	1	500232	575873	1	1174
PH0057-C	PH0171-C	2	106099	862490	1	6316
PH0057-C	PH0171-C	3	70833	1003043	1	7566
PH0059-C	PH0060-C	1	92914	575873	1	4273
PH0059-C	PH0060-C	2	106099	862490	1	6316
PH0059-C	PH0060-C	3	70833	1003043	1	7566
PH0059-C	PH0064-C	1	92914	449900	1	2794
PH0059-C	PH0064-C	1	452049	476026	0	74
PH0059-C	PH0064-C	1	478214	575873	1	1405
PH0059-C	PH0064-C	2	106099	862490	1	6316
PH0059-C	PH0064-C	3	70833	678523	1	5006
PH0059-C	PH0064-C	3	679387	702133	0	154
PH0059-C	PH0064-C	3	702490	787494	1	619
PH0059-C	PH0064-C	3	787761	819131	0	214
PH0059-C	PH0064-C	3	819652	1003043	1	1573
PH0059-C	PH0163-C	1	92914	174105	1	801
PH0059-C	PH0163-C	1	174777	197542	0	242
PH0059-C	PH0163-C	1	198010	418631	1	1567
PH0059-C	PH0163-C	1	419821	487895	0	311
PH0059-C	PH0163-C	1	488448	575873	1	1352
PH0059-C	PH0163-C	2	106099	862490	1	6316
PH0059-C	PH0163-C	3	70833	1003043	1	7566
PH0059-C	PH0167-C	1	92914	174105	1	801
PH0059-C	PH0167-C	1	174777	197542	0	242
PH0059-C	PH0167-C	1	198010	418631	1	1567
PH0059-C	PH0167-C	1	419821	487895	0	311
PH0059-C	PH0167-C	1	488448	575873	1	1352
PH0059-C	PH0167-C	2	106099	862490	1	6316
PH0059-C	PH0167-C	3	70833	1003043	1	7566
PH0059-C	PH0171-C	1	92914	486358	1	2911
PH0059-C	PH0171-C	1	486591	498782	0	158
PH0059-C	PH0171-C	1	499155	575873	1	1204
PH0059-C	PH0171-C	2	106099	304991	1	1639
PH0059-C	PH0171-C	2	305718	326603	0	237
PH0059-C	PH0171-C	2	327048	848084	1	4095
PH0059-C	PH0171-C	2	848108	849937	0	52
PH0059-C	PH0171-C	2	850056	862490	1	293
PH0059-C	PH0171-C	3	70833	1003043	1	7566
PH0060-C	PH0064-C	1	92914	512572	1	3247
PH0060-C	PH0064-C	1	512627	520958	0	168
PH0060-C	PH0064-C	1	521471	575873	1	858
PH0060-C	PH0064-C	2	106099	840733	1	5808
PH0060-C	PH0064-C	2	840830	845549	0	110
PH0060-C	PH0064-C	2	845624	862490	1	398
PH0060-C	PH0064-C	3	70833	1003043	1	7566
PH0060-C	PH0163-C	1	92914	147590	1	568
PH0060-C	PH0163-C	1	148109	168833	0	206
PH0060-C	PH0163-C	1	169394	575873	1	3499
PH0060-C	PH0163-C	2	106099	862490	1	6316
PH0060-C	PH0163-C	3	70833	503378	1	3860
PH0060-C	PH0163-C	3	503733	517096	0	113
PH0060-C	PH0163-C	3	517936	1003043	1	3593
PH0060-C	PH0167-C	1	92914	147590	1	568
PH0060-C	PH0167-C	1	148109	168833	0	206
PH0060-C	PH0167-C	1	169394	575873	1	3499
PH0060-C	PH0167-C	2	106099	862490	1	6316
PH0060-C	PH0167-C	3	70833	503378	1	3860
PH0060-C	PH0167-C	3	503733	517096	0	113
PH0060-C	PH0167-C	3	517936	1003043	1	3593
PH0060-C	PH0171-C	1	92914	575873	1	4273
PH0060-C	PH0171-C	2	106099	846509	1	5940
PH0060-C	PH0171-C	2	846604	849937	0	83
PH0060-C	PH0171-C	2	850056	862490	1	293
PH0060-C	PH0171-C	3	70833	1003043	1	7566
PH0064-C	PH0163-C	1	92914	575873	1	4273
PH0064-C	PH0163-C	2	106099	862490	1	6316
PH0064-C	PH0163-C	3	70833	1003043	1	7566
PH0064-C	PH0167-C	1	92914	575873	1	4273
